"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-04-24",56,22350,30000,7650,5970,11370,5010,"2022-04-24T06:44:33.000+02:00","2022-04-24T15:04:33.000+02:00"
"2022-04-25",83,32070,36780,4710,5700,17880,8490,"2022-04-24T23:49:41.000+02:00","2022-04-25T10:02:41.000+02:00"
"2022-04-26",79,29190,34320,5130,5610,17430,6150,"2022-04-26T00:47:31.000+02:00","2022-04-26T10:19:31.000+02:00"
"2022-04-27",56,18210,20580,2370,2460,11730,4020,"2022-04-27T02:53:32.000+02:00","2022-04-27T08:36:32.000+02:00"
"2022-04-28",73,27090,31440,4350,5280,11820,9990,"2022-04-28T01:23:21.000+02:00","2022-04-28T10:07:21.000+02:00"
"2022-04-29",83,29700,35340,5640,6510,15450,7740,"2022-04-29T00:00:20.000+02:00","2022-04-29T09:49:20.000+02:00"
"2022-04-30",72,26850,36060,9210,9210,13260,4380,"2022-04-30T05:51:51.000+02:00","2022-04-30T15:52:51.000+02:00"
"2022-05-01",61,26880,34440,7560,5400,16470,5010,"2022-05-01T02:45:05.000+02:00","2022-05-01T12:19:05.000+02:00"
"2022-05-02",71,25140,29520,4380,7410,10080,7650,"2022-05-02T07:14:06.000+02:00","2022-05-02T15:26:06.000+02:00"
"2022-05-03",76,27750,32520,4770,5040,15720,6990,"2022-05-03T01:01:56.000+02:00","2022-05-03T10:03:56.000+02:00"
"2022-05-04",73,26790,31080,4290,3630,17130,6030,"2022-05-04T00:12:43.000+02:00","2022-05-04T08:50:43.000+02:00"
"2022-05-05",76,27360,33960,6600,5160,13560,8640,"2022-05-05T00:24:43.000+02:00","2022-05-05T09:50:43.000+02:00"
"2022-05-06",51,14370,17700,3330,3450,4110,6810,"2022-05-06T07:48:19.000+02:00","2022-05-06T12:43:19.000+02:00"
"2022-05-07",80,28080,31500,3420,7590,11250,9240,"2022-05-07T04:57:18.000+02:00","2022-05-07T13:42:18.000+02:00"
"2022-05-08",72,26760,32760,6000,7890,12660,6210,"2022-05-08T05:56:01.000+02:00","2022-05-08T15:02:01.000+02:00"
"2022-05-09",74,26040,30360,4320,6120,11220,8700,"2022-05-09T01:09:37.000+02:00","2022-05-09T09:35:37.000+02:00"
"2022-05-10",73,26820,31620,4800,3900,15270,7650,"2022-05-10T01:11:13.000+02:00","2022-05-10T09:58:13.000+02:00"
"2022-05-11",63,23790,30360,6570,4260,12960,6570,"2022-05-11T01:29:56.000+02:00","2022-05-11T09:55:56.000+02:00"
"2022-05-12",68,27120,32880,5760,3690,16380,7050,"2022-05-12T00:43:53.000+02:00","2022-05-12T09:51:53.000+02:00"
"2022-05-13",69,25770,31440,5670,5550,15780,4440,"2022-05-13T01:37:25.000+02:00","2022-05-13T10:21:25.000+02:00"
"2022-05-14",63,20880,26040,5160,6930,9030,4920,"2022-05-14T06:50:31.000+02:00","2022-05-14T14:04:31.000+02:00"
"2022-05-15",66,22530,26700,4170,5310,8880,8340,"2022-05-15T05:03:27.000+02:00","2022-05-15T12:28:27.000+02:00"
"2022-05-16",83,34950,41340,6390,8220,18750,7980,"2022-05-16T00:57:45.000+02:00","2022-05-16T12:26:45.000+02:00"
"2022-05-17",61,21930,27300,5370,4290,14220,3420,"2022-05-17T02:18:23.000+02:00","2022-05-17T09:53:23.000+02:00"
"2022-05-18",71,27600,32820,5220,4080,15300,8220,"2022-05-18T01:03:54.000+02:00","2022-05-18T10:10:54.000+02:00"
